"OrderID,Date,Customer,City,Product,Category,Quantity,Price"
"1001,2024-01-02,Ali,Kuala Lumpur,Laptop,Electronics,1,3500"
"1002,2024-01-03,Siti,Shah Alam,Mouse,Electronics,2,50"
"1003,2024-01-05,John,Penang,Chair,Furniture,1,200"
"1004,2024-01-06,Aina,Johor Bahru,Table,Furniture,1,450"
"1005,2024-01-08,Ravi,Ipoh,Laptop,Electronics,1,3400"
"1006,2024-01-09,Maya,Kuala Lumpur,Phone,Electronics,2,1200"
"1007,2024-01-10,Ahmad,Melaka,Keyboard,Electronics,1,150"
"1008,2024-01-12,Sara,Klang,Chair,Furniture,2,200"
"1009,2024-01-14,David,Penang,Phone,Electronics,1,1300"
"1010,2024-01-15,Nur,Kuala Lumpur,Table,Furniture,1,500"
"1011,2024-01-16,Ali,Ipoh,Mouse,Electronics,3,50"
"1012,2024-01-18,Siti,Melaka,Laptop,Electronics,1,3600"
"1013,2024-01-19,John,Johor Bahru,Chair,Furniture,1,220"
"1014,2024-01-20,Aina,Klang,Keyboard,Electronics,2,140"
"1015,2024-01-22,Ravi,Penang,Phone,Electronics,1,1250"
"1016,2024-01-23,Maya,Kuala Lumpur,Table,Furniture,1,480"
"1017,2024-01-24,Ahmad,Ipoh,Laptop,Electronics,1,3550"
"1018,2024-01-25,Sara,Melaka,Mouse,Electronics,2,55"
"1019,2024-01-26,David,Klang,Chair,Furniture,1,210"
"1020,2024-01-27,Nur,Johor Bahru,Phone,Electronics,2,1150"
"1021,2024-01-28,Ali,Kuala Lumpur,Keyboard,Electronics,1,150"
"1022,2024-01-29,Siti,Penang,Table,Furniture,1,470"
"1023,2024-02-01,John,Ipoh,Laptop,Electronics,1,3450"
"1024,2024-02-02,Aina,Klang,Mouse,Electronics,2,60"
"1025,2024-02-03,Ravi,Melaka,Chair,Furniture,1,230"
"1026,2024-02-04,Maya,Johor Bahru,Phone,Electronics,1,1200"
"1027,2024-02-05,Ahmad,Kuala Lumpur,Table,Furniture,1,510"
"1028,2024-02-06,Sara,Penang,Keyboard,Electronics,2,130"
"1029,2024-02-07,David,Ipoh,Mouse,Electronics,1,50"
"1030,2024-02-08,Nur,Klang,Laptop,Electronics,1,3700"
"1031,2024-02-09,Ali,Melaka,Phone,Electronics,2,1100"
"1032,2024-02-10,Siti,Johor Bahru,Chair,Furniture,1,240"
"1033,2024-02-11,John,Kuala Lumpur,Keyboard,Electronics,1,145"
"1034,2024-02-12,Aina,Penang,Table,Furniture,1,460"
"1035,2024-02-13,Ravi,Ipoh,Mouse,Electronics,2,55"
"1036,2024-02-14,Maya,Klang,Laptop,Electronics,1,3600"
"1037,2024-02-15,Ahmad,Melaka,Chair,Furniture,1,210"
"1038,2024-02-16,Sara,Johor Bahru,Phone,Electronics,1,1250"
"1039,2024-02-17,David,Kuala Lumpur,Keyboard,Electronics,2,150"
"1040,2024-02-18,Nur,Penang,Table,Furniture,1,490"
"1041,2024-02-19,Ali,Ipoh,Mouse,Electronics,1,50"
"1042,2024-02-20,Siti,Klang,Laptop,Electronics,1,3800"
"1043,2024-02-21,John,Melaka,Phone,Electronics,2,1150"
"1044,2024-02-22,Aina,Johor Bahru,Chair,Furniture,1,250"
"1045,2024-02-23,Ravi,Kuala Lumpur,Keyboard,Electronics,1,140"
"1046,2024-02-24,Maya,Penang,Table,Furniture,1,470"
"1047,2024-02-25,Ahmad,Ipoh,Mouse,Electronics,2,60"
"1048,2024-02-26,Sara,Klang,Laptop,Electronics,1,3650"
"1049,2024-02-27,David,Melaka,Phone,Electronics,1,1300"
"1050,2024-02-28,Nur,Johor Bahru,Chair,Furniture,1,260"
"1051,2024-02-29,Ali,Kuala Lumpur,Keyboard,Electronics,2,150"
"1052,2024-03-01,Siti,Penang,Table,Furniture,1,500"
"1053,2024-03-02,John,Ipoh,Mouse,Electronics,1,55"
"1054,2024-03-03,Aina,Klang,Laptop,Electronics,1,3900"
"1055,2024-03-04,Ravi,Melaka,Phone,Electronics,2,1200"
